,business_id,name,price,status_1,status_2,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,status
187,Fm-GiR8hwnwIcddU2rTxQg,Pete's Famous BBQ,,1.0,,,,,,,,,,,1.0
189,HAN_o7lxUIYKFZgsNb9xuA,Charleys Philly Steaks & Wings,,,,,,,,,,,,,1.0
190,cducHBNe2V9Ol_blJTaRQw,Wawa,1.0,6.0,,,,,,,,,,,1.0
191,sO05BotiAR4qFlsJmFaVKw,Bahama Breeze,2.0,6.0,,,,,,,,,,,6.0
192,iLsbWR_YHkToU2L6iLe9Bw,Alberto's Pizzeria,,1.0,,,,,,,,,,,1.0
193,mAnjG6jkuGd-w5n8QJrRZg,Havana Cafe,,1.0,,,,,,,,,,,1.0
194,hvTAK-S3vN5gm8vfQKWUQA,Bagel World,,,,,,,,,,,,,1.0
195,hyz_BDFAfNcUZ-cvKlUSmA,The Hideaway Bar & Grill,,1.0,,,,,,,,,,,1.0
196,Myd9FiubpRkwIRpT8cDMjA,Hourglass Social House,,1.0,,,,,,,,,,,1.0
197,2I1SktFntxfbTvfvQOLLjA,Persimmon Hollow Brewing Company,,6.0,,,,,,,,,,,1.0
198,nFNn5v2fGcgrExqApDC-Gg,Taco Maker Mexican Grill,1.0,,,,,,,,,,,,6.0
199,OddlZlB8omCmw9GRojs_XQ,Sunshine Seasons,,6.0,,,,,,,,,,,1.0
200,2W86R8LsY1eKMVpnTyDGqw,Crispy Apple Fries,1.0,,,,,,,,,,,,1.0
201,nHkt9Fndqcm01YX5GWHEiw,The Chimi Spot,,,,,,,,,,,,,1.0
202,sGc0zCXe2EQDEzHZXnKFSw,Ole Red Orlando,2.0,,,,,,,,,,,,1.0
203,zu1AgY13sSziGlAQtdlHFA,Fuji Express,1.0,,,,,,,,,,,,5.0
204,3jlYmJ74e529avJX1H4m9w,407 Chef BBQ,,,,,,,,,,,,,1.0
206,ets5rqez9CZGJ0Z1BN72mg,U & Me Revolving Hot Pot,2.0,,,,,,,,,,,,1.0
207,ULdHiY51w7QjVea-mi4mJQ,The Juicy Crab,,,,,,,,,,,,,1.0
208,pZKsxDiAzefXbKivhr9F9Q,La Casa De Los Chimis,,1.0,,,,,,,,,,,1.0
209,wcezdSz51WQkYuDad5Lo2A,El Molcajete Restaurant,,,,,,,,,,,,,1.0
210,URyTbngLsM0lXH1aw0GH0Q,CFS Coffee,2.0,6.0,,,,,,,,,,,6.0
211,sYTI7__QFnrW_ovdWrWNUQ,Lechonera Sajoma Restaurant,,,,,,,,,,,,,1.0
212,HMKOmP-eau9BkZNcrJ3d3g,Two Guys Pasta & Pizza,2.0,3.0,Two Guys Pasta & Pizza,,,,,,,,,,1.0
213,mBUl13DWXTJuojdvByMhOw,The Earthy Kitchen,,1.0,,,,,,,,,,,1.0
215,Fh8xUOjkTQp8ooHa-HyqEg,Fleur D'Elise French Quarter Cuisine,1.0,,,,,,,,,,,,1.0
216,S_wyTuxj7bODZq8IBinTzw,Jimmy Hula's Downtown Orlando,,1.0,,,,,,,,,,,1.0
217,t7keNtFlKVCnit1rTgXSQg,New Texas Fried Chicken,,,,,,,,,,,,,1.0
218,TjhMJiZ-x7Q0nh5G-LMvIg,Cargo Bay Restaurant,,1.0,,,,,,,,,,,1.0
219,jGOoU3WEhn2jIJeOzi000g,Marco's Crab Shack,,1.0,,,,,,,,,,,1.0
220,NmtHPLEJ059uFEOKH8A5fA,El Cafetal Bakery & Restaurant,1.0,1.0,,,,,,,,,,,5.0
221,9_B8bxsHLhBoJKK4D4Q4-Q,Cubanela Latin Bakery,1.0,1.0,,,,,,,,,,,5.0
