,ValueCount,location
345,1,"(28.54477005, -81.39083008)"
346,1,"(28.491892383, -81.458943038)"
347,1,"(28.46083798, -81.46763256)"
348,1,"(28.59503675, -81.43845194)"
349,1,"(28.48640334, -81.45888068)"
350,1,"(28.46174691, -81.310064011)"
351,1,"(28.488381481, -81.417402502)"
352,1,"(28.453307576, -81.315318162)"
353,1,"(28.46031438, -81.30912217)"
354,1,"(28.464573077, -81.310076725)"
355,1,"(28.553311694, -81.345276982)"
356,1,"(28.54900296, -81.36438379)"
357,1,"(28.5436934, -81.36623046)"
358,1,"(28.54661433, -81.37911176)"
359,1,"(28.54660752, -81.37752971)"
360,1,"(28.51640352, -81.48454608)"
361,1,"(28.46237441, -81.45746087)"
362,1,"(28.54594937, -81.35090998)"
363,1,"(28.42973842, -81.25653132)"
364,1,"(28.59731039, -81.45138915)"
365,1,"(28.45896777, -81.30707005)"
366,1,"(28.553472398, -81.336043636)"
367,1,"(28.57071984, -81.38943516)"
368,1,"(28.47034894, -81.4503894)"
369,1,"(28.59481887, -81.44174854)"
370,1,"(28.54554683, -81.43451613)"
371,1,"(28.5390294, -81.30825303)"
372,1,"(28.52292866, -81.33104703)"
373,1,"(28.45924653, -81.46932481)"
374,1,"(28.54384123, -81.39884051)"
375,1,"(28.60760806, -81.43485088)"
376,1,"(28.46031439, -81.30912217)"
377,1,"(28.57285677, -81.38945454)"
378,1,"(28.53123208, -81.45928324)"
379,1,"(28.52415425, -81.34495451)"
380,1,"(28.54477389, -81.38182148)"
381,1,"(28.5523733, -81.34685812)"
382,1,"(28.5347164, -81.39033115)"
383,1,"(28.6126864, -81.43334975)"
384,1,"(28.52276538, -81.30828194)"
385,1,"(28.54386004, -81.38804802)"
386,1,"(28.39115899, -81.24425086)"
387,1,"(28.50807067, -81.37630488)"
388,1,"(28.52421694, -81.33722317)"
389,1,"(28.58746144, -81.39382014)"
390,1,"(28.577523673, -81.389541414)"
